GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	1	3301765	195673786	96419	-0.0073
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	1	195675499	195677918	2	-1.8805
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	1	195680112	247650984	33375	-0.0053
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	2	480597	51309666	30650	-0.0066
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	2	51311298	51313307	2	-2.1414
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	2	51320013	241537572	101597	-0.0053
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	3	2170634	27768298	15053	0.0036
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	3	27770884	27773020	7	-0.9047
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	3	27775528	85338160	33842	0.0035
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	3	85340405	85340738	2	-1.6118
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	3	85346759	197812401	58310	0.0015
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	4	1059384	187842528	103535	0.003
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	5	913983	18378196	11313	0.013
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	5	18378284	30907785	6532	-0.0242
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	5	30907852	104640774	37060	0.0049
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	5	104642984	104643560	5	-1.1176
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	5	104645292	180934240	46256	-0.0002
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	6	1011760	170596889	97200	0.0064
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	7	664936	158592540	81954	-0.0026
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	8	667625	80439466	44654	0.0115
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	8	80439588	80440386	2	1.8251
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	8	80445396	144182542	37610	0.0105
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	9	789794	120140408	58848	0.0037
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	9	120142341	138044505	9672	-0.0212
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	10	366509	133411599	81324	0.0176
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	11	456012	134272740	77613	0.0098
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	12	780472	67536020	35888	0.0074
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	12	67536270	67537398	2	-1.5958
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	12	67538944	99589094	19910	0.0088
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	12	99590976	99659878	5	-1.2047
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	12	99710410	132605822	18578	0.017
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	13	18874255	114226675	57022	0.0039
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	14	20033191	31939744	5966	-0.0031
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	14	31941962	31942416	3	1.5536
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	14	31947298	87032082	32860	0.0022
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	14	87034572	87057630	17	-1.0021
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	14	87060063	105533894	10959	-0.0022
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	15	23437561	64855199	23471	0.001
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	15	64860706	64933524	28	0.4874
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	15	64943810	101344124	21303	-0.002
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	16	603333	89317317	41218	0.0046
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	17	1074619	82959812	37293	-0.0081
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	18	326691	79349796	42980	0.005
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	19	283868	58168372	24050	-0.0218
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	19	58169124	58169321	2	-1.7121
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	19	58171974	58370362	112	-0.0121
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	20	472817	63588502	37577	0.0015
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	21	13974127	26626688	7936	-0.0093
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	21	26632699	26670194	31	-0.8455
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	21	26673378	46262057	12643	-0.005
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	22	16934932	48940621	17092	0.0039
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	X	3236359	99900426	38335	0.007
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	X	99902016	99902150	2	-3.6838
62a53cc3-0234-4602-bc4e-2bbbb9e7e159	X	99907481	155677414	25580	0.0138
