GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
56c3004a-761c-48ad-a673-5d7c832c35d7	1	62920	777165	23	-0.3888
56c3004a-761c-48ad-a673-5d7c832c35d7	1	783283	15823420	8316	0.0153
56c3004a-761c-48ad-a673-5d7c832c35d7	1	15827002	15827430	6	-2.235
56c3004a-761c-48ad-a673-5d7c832c35d7	1	15827706	16685961	336	-0.0028
56c3004a-761c-48ad-a673-5d7c832c35d7	1	16686246	16926919	60	-0.439
56c3004a-761c-48ad-a673-5d7c832c35d7	1	16927043	25256850	5278	0.0082
56c3004a-761c-48ad-a673-5d7c832c35d7	1	25266637	25320198	22	-2.0082
56c3004a-761c-48ad-a673-5d7c832c35d7	1	25320253	72297687	28725	0.0199
56c3004a-761c-48ad-a673-5d7c832c35d7	1	72302735	72345465	48	-0.999
56c3004a-761c-48ad-a673-5d7c832c35d7	1	72346221	79021914	4174	0.0146
56c3004a-761c-48ad-a673-5d7c832c35d7	1	79022399	79059320	25	-0.3592
56c3004a-761c-48ad-a673-5d7c832c35d7	1	79060977	80326023	833	-0.0002
56c3004a-761c-48ad-a673-5d7c832c35d7	1	80326449	80326818	2	-1.6232
56c3004a-761c-48ad-a673-5d7c832c35d7	1	80327341	101178654	13472	0.0176
56c3004a-761c-48ad-a673-5d7c832c35d7	1	101182772	101189736	2	-1.8711
56c3004a-761c-48ad-a673-5d7c832c35d7	1	101190114	103620877	1512	0.0078
56c3004a-761c-48ad-a673-5d7c832c35d7	1	103621165	103697364	3	-1.2021
56c3004a-761c-48ad-a673-5d7c832c35d7	1	103717410	109684893	3571	0.0218
56c3004a-761c-48ad-a673-5d7c832c35d7	1	109690352	109697556	13	-1.4664
56c3004a-761c-48ad-a673-5d7c832c35d7	1	109702376	112147704	1947	0.0343
56c3004a-761c-48ad-a673-5d7c832c35d7	1	112153343	112154591	22	-1.9032
56c3004a-761c-48ad-a673-5d7c832c35d7	1	112154619	143547055	5174	0.0223
56c3004a-761c-48ad-a673-5d7c832c35d7	1	143547139	145895021	237	0.1936
56c3004a-761c-48ad-a673-5d7c832c35d7	1	145899155	152582700	2196	0.026
56c3004a-761c-48ad-a673-5d7c832c35d7	1	152583051	152614118	36	1.4205
56c3004a-761c-48ad-a673-5d7c832c35d7	1	152618018	152789532	171	0.0544
56c3004a-761c-48ad-a673-5d7c832c35d7	1	152789570	152796224	33	0.4813
56c3004a-761c-48ad-a673-5d7c832c35d7	1	152801429	163115720	6479	0.0148
56c3004a-761c-48ad-a673-5d7c832c35d7	1	163116406	163116709	2	-1.9649
56c3004a-761c-48ad-a673-5d7c832c35d7	1	163116968	194479104	21506	0.0165
56c3004a-761c-48ad-a673-5d7c832c35d7	1	194482281	194485888	2	-2.2394
56c3004a-761c-48ad-a673-5d7c832c35d7	1	194487886	196745743	1448	-0.0194
56c3004a-761c-48ad-a673-5d7c832c35d7	1	196758720	196779346	21	0.5325
56c3004a-761c-48ad-a673-5d7c832c35d7	1	196779373	196843377	38	0.0796
56c3004a-761c-48ad-a673-5d7c832c35d7	1	196843400	196846661	2	-3.3864
56c3004a-761c-48ad-a673-5d7c832c35d7	1	196847600	203935975	4534	0.0054
56c3004a-761c-48ad-a673-5d7c832c35d7	1	203937000	203952540	12	-0.7603
56c3004a-761c-48ad-a673-5d7c832c35d7	1	203953367	247680410	30560	0.0214
56c3004a-761c-48ad-a673-5d7c832c35d7	1	247686560	247693972	2	-1.9111
56c3004a-761c-48ad-a673-5d7c832c35d7	1	247694026	248525284	508	0.0069
56c3004a-761c-48ad-a673-5d7c832c35d7	1	248525299	248661962	43	-0.3396
56c3004a-761c-48ad-a673-5d7c832c35d7	1	248662519	248930189	136	0.0829
56c3004a-761c-48ad-a673-5d7c832c35d7	2	12784	14168838	10687	0.0326
56c3004a-761c-48ad-a673-5d7c832c35d7	2	14169540	14170278	2	-1.968
56c3004a-761c-48ad-a673-5d7c832c35d7	2	14173035	34466002	13391	0.0303
56c3004a-761c-48ad-a673-5d7c832c35d7	2	34474248	34511990	46	0.6984
56c3004a-761c-48ad-a673-5d7c832c35d7	2	34512096	41011848	4808	0.0169
56c3004a-761c-48ad-a673-5d7c832c35d7	2	41015457	41024093	14	-0.5474
56c3004a-761c-48ad-a673-5d7c832c35d7	2	41024125	52527423	8179	0.0251
56c3004a-761c-48ad-a673-5d7c832c35d7	2	52527590	52527743	3	-2.5125
56c3004a-761c-48ad-a673-5d7c832c35d7	2	52531615	52554404	33	-0.4631
