GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
228ce105-6d6e-401a-a504-d5c00c61be80	1	3301765	50148100	25175	0.0211
228ce105-6d6e-401a-a504-d5c00c61be80	1	50149844	50151878	3	-1.5846
228ce105-6d6e-401a-a504-d5c00c61be80	1	50154650	247650984	104556	0.0166
228ce105-6d6e-401a-a504-d5c00c61be80	2	480597	241537572	132182	0.0206
228ce105-6d6e-401a-a504-d5c00c61be80	3	2170634	197812401	107162	0.0173
228ce105-6d6e-401a-a504-d5c00c61be80	4	1059384	124538250	69507	0.016
228ce105-6d6e-401a-a504-d5c00c61be80	4	124539196	124541780	3	-1.4937
228ce105-6d6e-401a-a504-d5c00c61be80	4	124541870	187842528	33936	0.0154
228ce105-6d6e-401a-a504-d5c00c61be80	5	913983	157529654	86782	0.0163
228ce105-6d6e-401a-a504-d5c00c61be80	5	157529881	157535393	7	-0.946
228ce105-6d6e-401a-a504-d5c00c61be80	5	157536002	180934240	14297	0.0188
228ce105-6d6e-401a-a504-d5c00c61be80	6	1011760	135014291	75860	0.0145
228ce105-6d6e-401a-a504-d5c00c61be80	6	135021116	135022100	2	-2.017
228ce105-6d6e-401a-a504-d5c00c61be80	6	135028432	155674447	13205	0.0168
228ce105-6d6e-401a-a504-d5c00c61be80	6	155677607	155678361	5	-0.8797
228ce105-6d6e-401a-a504-d5c00c61be80	6	155680105	170596889	8061	0.0179
228ce105-6d6e-401a-a504-d5c00c61be80	7	664936	148235048	76632	0.0156
228ce105-6d6e-401a-a504-d5c00c61be80	7	148237547	148237685	2	-2.1682
228ce105-6d6e-401a-a504-d5c00c61be80	7	148239471	158592540	5285	0.0216
228ce105-6d6e-401a-a504-d5c00c61be80	8	667625	62218494	34123	0.0206
228ce105-6d6e-401a-a504-d5c00c61be80	8	62222116	62229655	2	-1.7476
228ce105-6d6e-401a-a504-d5c00c61be80	8	62231887	144182542	48078	0.0162
228ce105-6d6e-401a-a504-d5c00c61be80	9	789794	80769153	32303	0.0162
228ce105-6d6e-401a-a504-d5c00c61be80	9	80770050	80782247	11	-0.5472
228ce105-6d6e-401a-a504-d5c00c61be80	9	80782267	138044505	36175	0.0208
228ce105-6d6e-401a-a504-d5c00c61be80	10	366509	36412441	25081	0.0186
228ce105-6d6e-401a-a504-d5c00c61be80	10	36413642	36413712	2	-1.7716
228ce105-6d6e-401a-a504-d5c00c61be80	10	36414848	51093925	4857	0.0243
228ce105-6d6e-401a-a504-d5c00c61be80	10	51094371	51097570	2	-1.6236
228ce105-6d6e-401a-a504-d5c00c61be80	10	51098202	59345715	5023	0.0084
228ce105-6d6e-401a-a504-d5c00c61be80	10	59346627	59347125	3	-1.2646
228ce105-6d6e-401a-a504-d5c00c61be80	10	59347933	133411599	46316	0.0188
228ce105-6d6e-401a-a504-d5c00c61be80	11	456012	134272740	77548	0.0161
228ce105-6d6e-401a-a504-d5c00c61be80	12	780472	110874286	62680	0.0165
228ce105-6d6e-401a-a504-d5c00c61be80	12	110877553	110878062	2	-1.6069
228ce105-6d6e-401a-a504-d5c00c61be80	12	110881920	127349717	9803	0.0145
228ce105-6d6e-401a-a504-d5c00c61be80	12	127352759	127354465	2	-1.5395
228ce105-6d6e-401a-a504-d5c00c61be80	12	127355234	132605822	1835	0.0082
228ce105-6d6e-401a-a504-d5c00c61be80	13	18874255	67548106	27649	0.0117
228ce105-6d6e-401a-a504-d5c00c61be80	13	67576999	71020556	1900	-0.032
228ce105-6d6e-401a-a504-d5c00c61be80	13	71020821	106730287	22661	0.0142
228ce105-6d6e-401a-a504-d5c00c61be80	13	106731890	106732362	2	1.7263
228ce105-6d6e-401a-a504-d5c00c61be80	13	106732887	114226675	4761	0.0164
228ce105-6d6e-401a-a504-d5c00c61be80	14	20033191	105533894	49767	0.0117
228ce105-6d6e-401a-a504-d5c00c61be80	15	23437561	101344124	44781	0.0156
228ce105-6d6e-401a-a504-d5c00c61be80	16	603333	89317317	41204	0.0148
228ce105-6d6e-401a-a504-d5c00c61be80	17	1074619	82959812	37284	0.0141
228ce105-6d6e-401a-a504-d5c00c61be80	18	326691	79349796	42948	0.0168
228ce105-6d6e-401a-a504-d5c00c61be80	19	283868	58370362	24159	0.0137
228ce105-6d6e-401a-a504-d5c00c61be80	20	472817	63588502	37564	0.0173
228ce105-6d6e-401a-a504-d5c00c61be80	21	13974127	46262057	20595	0.0128
228ce105-6d6e-401a-a504-d5c00c61be80	22	16934932	48940621	17090	0.0146
228ce105-6d6e-401a-a504-d5c00c61be80	X	3236359	82726432	31454	0.0191
228ce105-6d6e-401a-a504-d5c00c61be80	X	82727603	82729930	2	-1.6759
228ce105-6d6e-401a-a504-d5c00c61be80	X	82733124	155677414	32494	0.0147
